ID,SMILES
45,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(C#N)CC2)C(C)(C)C)cc1
46,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(-c2scnc2C)cc1)C(C)(C)C
47,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](N)C[C@H]1C(=O)Nc1c(F)cccc1F)C(C)(C)C
48,N[C@H](C(N1C[C@@H](C[C@H]1C(N[C@@H](C)C2=CC=C(C=C2)C3=C(N=CS3)C)=O)O)=O)C(C)(C)C
49,O=C([C@H]1N(C([C@@H](NC([C@@H](NC)C)=O)C(C)(C)C)=O)CC(C=CC=C2)=C2C1)N[C@H]3CCCC4=CC=CC=C43
50,N[C@H](C(N1[C@@H](C[C@H](C1)O)C(N[C@H](C2=CC=C(C=C2)C3=C(N=CS3)C)C)=O)=O)C(C)(C)C.Cl
51,O=C(N(C1=O)C(CC2)C(NC2=O)=O)C3=C1C=CC=C3
52,NC1=CC=CC2=C1CN(C2=O)C3CCC(NC3=O)=O
53,NC1=CC=CC2=C1C(N(C2=O)C3CCC(NC3=O)=O)=O
54,O=C(CC1)NC(C1N2C(C(C=CC=C3)=C3C2=O)=O)=O
55,O=C(NCC1=CC=C(C=C1)C2=C(N=CS2)C)[C@H]3N(C[C@@H](C3)O)C([C@H](C(C)(C)C)N)=O
56,O=C(N[C@@H](C)C1=CC=C(C=C1)C2=C(N=CS2)C)[C@H]3N(C[C@@H](C3)O)C([C@@H](C(C)(C)C)NC(C)=O)=O
57,O=C(NCC1=CC=C(C2=C(C)N=CS2)C=C1)[C@@H]3N(C([C@@H](C(C)(C)C)NC(C4(C#N)CC4)=O)=O)C[C@@H](O)C3
58,O=C([C@H]1N(C([C@@H](NC(C2(F)CC2)=O)C(C)(C)C)=O)C[C@H](O)C1)NCC3=CC=C(C4=C(C)N=CS4)C=C3O
59,ClCC(N(CC1=CC=CC=C1)C2=CC=C(OC3=CC=C(OC)C=C3)C=C2)=O
60,CC1=C2[C@](O[C@]([C@@]3([H])C4[C@]5(C)C(C=C[C@@]4(C)C(O3)=O)=O)([C@]2(C)[C@@H]5CC(OC)=O)[H])(C[C@H]1C6=COC=C6)[H]
61,O=C([C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)N)=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(N=CS3)C
62,N[C@@H]([C@@H](C(N[C@H](C(OC)=O)CC(C)C)=O)O)CC1=CC=CC=C1
63,N[C@@H]([C@@H](C(N[C@H](C(NC)=O)CC(C)C)=O)O)CC1=CC=CC=C1
64,O=C(CCCC1=CC=CC=C1)N[C@H](C(NC)=O)CC(C)C
65,O=C([C@@H](NC([C@H]1N(CCC1)C([C@@H](NC([C@@H](NC)C)=O)C2CCCCC2)=O)=O)C(C3=CC=CC=C3)C4=CC=CC=C4)OC
66,C[C@H](NC)C(N[C@@H](C1CCCCC1)C(N2[C@H](C3=NC(C(C4=CC=C(F)C=C4)=O)=CS3)CCC2)=O)=O
67,O=C([C@H]1C(C)(C)C[C@@]([H])(OCC[C@H]2NC([C@@H](C)NC)=O)N1C2=O)N[C@@H]3CCCC4=CC(O)=CC=C43
68,N[C@@H](C(C)(C)C)C(N1[C@H](C(N[C@@H](C)C2=CC=C(C3=C(C)N=CS3)C=C2)=O)C[C@@H](O)C1)=O.Cl
69,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C
70,CC(=O)N[C@H](C(=O)N1C[C@H](O)[C@@H](F)[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C
71,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C
72,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1
73,CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1
74,CC(=O)N[C@H](C(=O)N1C[C@H](O)[C@H](F)[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C
75,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(Cl)cc1)C(C)(C)C
76,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C#N)cc1)C(C)(C)C
77,C#Cc1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(C)=O)C(C)(C)C)cc1
78,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C2CC2)cc1)C(C)(C)C
79,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C(C)C)cc1)C(C)(C)C
80,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C(C)(C)C)cc1)C(C)(C)C
81,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(C)=O)C(C)(C)C)c1ccc(-c2scnc2C)cc1
82,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1
83,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(C#N)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1
84,CNC(=O)C[C@@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1
85,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1
86,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)cc1
87,C#Cc1ccc([C@H](CC(=O)NC)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](c2cc(C)no2)C(C)C)cc1
88,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(C#N)cc1
89,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(Br)cc1
90,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(Cl)cc1
91,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(F)cc1
92,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccccc1
93,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(C)=O)C(C)C)c1ccccc1
94,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1
95,COc1ccc2c(c1)CCCN2C(=O)CCl
96,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12
97,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12
98,COC(=O)c1csc(C(=O)c2c[nH]c3ccccc23)n1
99,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C)CC1
100,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(c1ccccc1)c1ccccc1)C1CCCCC1
101,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1
102,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1
103,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1
104,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N(CCc1ccccc1)C2)C1CCCCC1
105,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc(F)c3ccccc23)cs1)C1CCCCC1
106,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)nccc2s1)C1CCCCC1
107,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(-c2ccc(F)c(C(=O)O)c2)c1)C1CCCCC1
108,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(-n2ccc3c(C(=O)O)cccc32)c1)C(C)C
109,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1
110,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(C(=O)c2ccc(F)cc2)c1)C1CCCCC1
111,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O
112,CN[C@@H](C)C(=O)N[C@H]1CCO[C@H]2CC(C)(C)[C@@H](C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O
113,O=C1CCC(N2C(=O)c3cccc4cccc(c34)C2=O)C(=O)N1
114,COc1ccc(Oc2ccc(N(Cc3ccccc3)C(=O)CCl)cc2)cc1
115,CN1CCN(c2ccc(NC3CCC(=O)NC3=O)cc2)CC1
116,O=C1CCC(n2c(=O)oc3ccccc32)C(=O)N1
117,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O
118,COC(=O)C[C@H]1[C@]2(C)C3=C(C)[C@H](c4ccoc4)C[C@H]3O[C@@H]2[C@@H]2OC(=O)[C@]3(C)C=CC(=O)[C@@]1(C)[C@@H]23
119,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2
120,O=C(CCl)NC(C(=O)NCc1ccccc1)c1ccc(Cl)c(Cl)c1
121,O=C(CCl)NC(C(=O)NCc1ccccc1)c1ccc(Cl)cc1
122,CC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC)C(C)(C)C)c1ccccc1
123,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C
124,CN[C@@H](C)C(=O)N[C@H]1CN(C(N)=O)CC[C@H]2CCC(C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O
125,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1
126,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1
127,O=C1CCC(c2ccccc2)C(=O)N1
128,O=C1CCC(N2C(=O)c3cc4c(cc3C2=O)CNC4)C(=O)N1
129,O=C1CCC(N2Cc3cc4c(cc3C2=O)CNC4)C(=O)N1
130,O=C1CCN(c2ccccc2)C(=O)N1
131,O=C1CCN(c2ccccc2Cl)C(=O)N1
132,COc1ccccc1N1CCC(=O)NC1=O
133,O=C1CCC(Nc2ccccc2)C(=O)N1
134,N#CCCN(C(=O)CCl)c1ccc2c(c1)OCCO2
