SMILES,ID
O=C1CCC(N2Cc3c(NC(=O)CCCCCCCN4CCN(c5ccc(Nc6cc7c(N8CCC(CO)CC8)nc(Nc8ccc(F)cc8)nc7cn6)nc5)CC4)cccc3C2=O)C(=O)N1,135
O=C1CCC(N2Cc3c(NC(=O)CCCCCCN4CCN(c5ccc(Nc6cc7c(N8CCC(CO)CC8)nc(Nc8ccc(F)cc8)nc7cn6)nc5)CC4)cccc3C2=O)C(=O)N1,136
O=C1CCC(N2Cc3c(NC(=O)CCCCCN4CCN(c5ccc(Nc6cc7c(N8CCC(CO)CC8)nc(Nc8ccc(F)cc8)nc7cn6)nc5)CC4)cccc3C2=O)C(=O)N1,137
O=C1CCC(N2Cc3c(NC(=O)CCCCN4CCN(c5ccc(Nc6cc7c(N8CCC(CO)CC8)nc(Nc8ccc(F)cc8)nc7cn6)nc5)CC4)cccc3C2=O)C(=O)N1,138
O=C1CCC(N2Cc3c(NC(=O)CCCCCCCn4cc(CN5CCN(c6ccc(Nc7cc8c(N9CCC(CO)CC9)nc(Nc9ccc(F)cc9)nc8cn7)nc6)CC5)nn4)cccc3C2=O)C(=O)N1,139
O=C(CN1CCN(c2ccc(Nc3cc4c(N5CCC(CO)CC5)nc(Nc5ccc(F)cc5)nc4cn3)nc2)CC1)NCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,140
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCN(CCCCCCCC(=O)Nc6cccc7c6CN(C6CCC(=O)NC6=O)C7=O)CC5)nc(Nc5ccc(F)cc5)nc4cn3)nc2)CC1,141
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCN(CC(=O)NCCC(=O)Nc6cccc7c6CN(C6CCC(=O)NC6=O)C7=O)CC5)nc(Nc5ccc(F)cc5)nc4cn3)nc2)CC1,142
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCN2CCN(c3ccc(Nc4cc5c(N6CCC(CO)CC6)nc(Nc6ccc(F)cc6)nc5cn4)nc3)CC2)C(C)(C)C)cc1,143
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCN2CCN(c3ccc(Nc4cc5c(N6CCC(CO)CC6)nc(Nc6ccc(F)cc6)nc5cn4)nc3)CC2)C(C)(C)C)cc1,144
