PROTAC SMILES,E3 Binder SMILES with direction,Linker SMILES with direction,POI Ligand SMILES with direction,E3 Binder SMILES,Linker SMILES,POI Ligand SMILES,Notes
CCNC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1cc(F)c(F)c(F)c1)C(=O)CCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],CCNC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1cc(F)c(F)c(F)c1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,CCNC(=O)c1[nH]c2cc(Cl)ccc2c1C(NCc1cc(F)c(F)c(F)c1)C(=O)NC(C)(C)C,Manually mapped
Cc1nnc2n1-c1sc(C#Cc3cnn(-c4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)c3)c(Cc3ccccc3)c1COC2,O=C1CCC(N2C(=O)c3cccc([*:2])c3C2=O)C(=O)N1,C(#C[*:1])c1cnn([*:2])c1,Cc1nnc2n1-c1sc([*:1])c(Cc3ccccc3)c1COC2,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,C#Cc1cnnc1,Cc1nnc2n1-c1scc(Cc3ccccc3)c1COC2,Manually mapped
CCN(C(=O)CCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)C(C(=O)NC(C)(C)C)c1ccc(Cl)cc1,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],CCN(C(C(=O)NC(C)(C)C)c1ccc(Cl)cc1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,CCNC(C(=O)NC(C)(C)C)c1ccc(Cl)cc1,Manually mapped
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccc(Cl)cc1)C(=O)CCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccc(Cl)cc1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(NCc1ccc(Cl)cc1)C(=O)NC(C)(C)C,Manually mapped
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccccc1)C(=O)CCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCC#C[*:2])[*:1],CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccccc1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCC=O,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(NCc1ccccc1)C(=O)NC(C)(C)C,Manually mapped
CC(C)C(C(=O)NC(C)(C)C)N(Cc1cc(F)c(F)c(F)c1)C(=O)CCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],CC(C)C(C(=O)NC(C)(C)C)N(Cc1cc(F)c(F)c(F)c1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,CC(C)C(NCc1cc(F)c(F)c(F)c1)C(=O)NC(C)(C)C,Manually mapped
Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2C1OC(COP(=O)(O)NCCCCCC(=O)NC2CCC=C3C(=O)N(C4CCC(=O)NC4=O)CC32)C(O)C1O,O=C1CCC(N2CC3C(=CCCC3N[*:2])C2=O)C(=O)N1,O=C(CCCCCN[*:1])[*:2],Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2C1OC(COP(=O)(O)[*:1])C(O)C1O,NC1CCC=C2C(=O)N(C3CCC(=O)NC3=O)CC21,NCCCCCC=O,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2C1OC(CO[PH](=O)O)C(O)C1O,Manually mapped
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccccc1)C(=O)CCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccccc1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(NCc1ccccc1)C(=O)NC(C)(C)C,Manually mapped
CC(C)(C)NC(=O)C(c1ccc(Cl)cc1)N(Cc1cc(F)c(F)c(F)c1)C(=O)CCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],CC(C)(C)NC(=O)C(c1ccc(Cl)cc1)N(Cc1cc(F)c(F)c(F)c1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,CC(C)(C)NC(=O)C(NCc1cc(F)c(F)c(F)c1)c1ccc(Cl)cc1,Manually mapped
Cc1nnc2n1-c1sc(C#Cc3ccn(CCCCNc4cccc5c4CN(C4CCC(=O)NC4=O)C5=O)c3)c(Cc3ccccc3)c1COC2,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,C(#C[*:1])c1ccn(CCCCN[*:2])c1,Cc1nnc2n1-c1sc([*:1])c(Cc3ccccc3)c1COC2,O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#Cc1ccn(CCCCN)c1,Cc1nnc2n1-c1scc(Cc3ccccc3)c1COC2,Manually mapped
