E3 Binder SMILES,E3 Binder ID
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)OC)C(c1ccccc1)c1ccccc1)C1CCCCC1,63
C#Cc1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(NC(C)=O)C(C)(C)C)cc1,64
CNC(C)C(=O)NC1CN(C(N)=O)CCC2CCC(C(=O)NC3CCCc4ccccc43)N2C1=O,65
N=C(N)NCCCC(N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)O,67
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(Cl)cc1,75
CC(NC(=O)C1CC(O)CN1C(=O)C(N)C(C)(C)C)c1ccc(Cl)cc1,74
CNC(C)C(=O)NC(C(=O)N1CC(N)CC1C(=O)Nc1c(F)cccc1F)C(C)(C)C,77
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NC(C)c1ccc(C(C)(C)C)cc1)C(C)(C)C,78
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(C)N)cc1,79
CC(NC(=O)C1CC(O)CN1C(=O)C(N)C(C)(C)C)c1ccc(C(C)(C)C)cc1,80
COc1cc(C(CC(=O)O)c2ccc(C)c(CN3CC(C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,82
Cc1ncsc1-c1ccc(CNC(=O)C2C(F)C(O)CN2C(=O)C(N)C(C)(C)C)cc1,140
COC(=O)CC1C2(C)C3=C(C)C(c4ccoc4)CC3OC2C2OC(=O)C3(C)C=CC(=O)C1(C)C23,86
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NC(C)c1ccc(-c2scnc2C)cc1)C(C)(C)C,98
CCC(NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)NC)C(C)(C)C)c1ccccc1,90
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(-c2scnc2C)cc1,116
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(Br)cc1,122
CNC(C)C(=O)NC(C(=O)N1CCCC1c1cncc(-c2ccc(F)c(C(=O)O)c2)c1)C1CCCCC1,94
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N)C(C)C)cc1,95
C#Cc1ccc(C(CC(=O)NC)NC(=O)C2CC(O)CN2C(=O)C(c2cc(C)no2)C(C)C)cc1,120
CCC(N)C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1,99
CNC(C)C(=O)NC(C(=O)N1CC(Oc2ccccc2)CC1C(=O)NC1CCCc2ccccc21)C1CCCCC1,129
CNC(C)C(=O)NC1CCOC2CC(C)(C)C(C(=O)NC3CCCc4ccccc43)N2C1=O,103
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2[nH]cnc2C)cc1)C(C)(C)C,106
Cc1ncsc1-c1ccc(-c2c[nH]c(C3CC(O)CN3C(=O)C(N)C(C)(C)C)n2)cc1,107
CC1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)C(CN2CCOCC2C)CN1,108
Cc1ncsc1-c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(NC(=O)C2(C#N)CC2)C(C)(C)C)cc1,109
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,112
COc1cc(C(N)=O)ccc1NC(=O)C1NC(CC(C)(C)C)C(C#N)(c2ccc(Cl)cc2F)C1c1cccc(Cl)c1F,156
CNC(C)C(=O)NC(C(=O)N1CCCC1c1cncc(C(=O)c2ccc(F)cc2)c1)C1CCCCC1,115
CNC(=O)C(CC(C)C)NC(=O)C(O)C(N)Cc1ccccc1,123
CNC(C)C(=O)NC(C(=O)N1CCCC1c1cncc(-n2ccc3c(C(=O)O)cccc32)c1)C(C)C,125
NC(Cc1c[nH]cn1)C(=O)O,126
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)CN)cc1,128
COC(=O)C(CC(C)C)NC(=O)C(O)C(N)Cc1ccccc1,131
CNC(C)C(=O)NC(C(=O)NC1CC2CCC1N(CCc1ccccc1)C2)C1CCCCC1,132
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,134
CCOc1cc(C(C)(C)C)ccc1C1=NC(C)(c2ccc(Cl)cc2)C(C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,135
CC1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)C(CN2C(C)COCC2C)CN1,137
C#Cc1ccc(C2CN(C(=O)C=C)C2C(=O)Nc2cccc3cccnc23)cc1,138
NCC(=O)NC1CCC(=O)NC1=O,139
COc1cc(C(N)=O)ccc1NC(=O)C1NC(CC(C)(C)C)C2(C(=O)Nc3cc(Cl)ccc32)C1c1cccc(Cl)c1F,141
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,142
NCC(=O)NC1CC(=O)NC1=O,143
Cc1cc(C(C(=O)N2CC(O)CC2C(=O)NCc2ccc(-c3scnc3C)cc2)C(C)C)on1,144
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)C2(F)CC2)C(C)(C)C)c(O)c1,145
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)C2(F)CC2)C(C)(C)C)cc1,148
N=C(N)NCCCC(N)C(N)=O,149
CSC(C)(C)C(N)C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1,150
Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,151
NC(=O)C(N)Cc1c[nH]cn1,152
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NC(CC=O)c1ccccc1)C(C)C,154
Nc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,155
CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(N)=O,157
CC(=O)N[C@H](C(=O)N1C[C@@H](O)C[C@@H]1C(=O)N[C@@H](CC=O)c1ccccc1)C(C)C,257
N=C(N)NCCC[C@H](N)C(N)=O,258
NC(=O)[C@@H](N)Cc1c[nH]cn1,259
